"Bacillus flexus"
"Bacillus fordii"
"Bacillus gaemokensis"
"Bacillus ginsengihumi"
"Bacillus infantis"
"Bacillus isronensis"
"Bacillus kribbensis"
"Bacillus lehensis"
"Bacillus licheniformis"
"Bacillus manliponensis"
"Bacillus mannanilyticus"
"Bacillus marmarensis"
"Bacillus massilioanorexius"
"Bacillus massiliosenegalensis"
"Bacillus megaterium"
"Bacillus methanolicus"
"Bacillus methylotrophicus"
"Bacillus mojavensis"
"Bacillus mycoides"
"Bacillus nealsonii"
"Bacillus oceanisediminis"
"Bacillus panaciterrae"
"Bacillus pseudofirmus"
"Bacillus psychrosaccharolyticus"
"Bacillus pumilus"
"Bacillus safensis"
"Bacillus siamensis"
"Bacillus simplex"
"Bacillus smithii"
"Bacillus sonorensis"
"Bacillus sp."
"Bacillus sp. 105MF"
"Bacillus sp. 123MFChir2"
"Bacillus sp. 171095_106"
"Bacillus sp. 17376"
"Bacillus sp. 1NLA3E"
"Bacillus sp. 2_A_57_CT2"
"Bacillus sp. 278922_107"
"Bacillus sp. 37MA"
"Bacillus sp. 5B6"
"Bacillus sp. 7_6_55CFAA_CT2"
"Bacillus sp. 916"
"Bacillus sp. 95MFCvi2.1"
"Bacillus sp. Aph1"
"Bacillus sp. BT1B_CT2"
"Bacillus sp. CC120222-01"
"Bacillus sp. CPSM8"
"Bacillus sp. DW5-4"
"Bacillus sp. FJAT-13831"
"Bacillus sp. FJAT-14515"
"Bacillus sp. FJAT-14578"
"Bacillus sp. G2(2012b)"
"Bacillus sp. GL120224-02"
"Bacillus sp. H1a"
"Bacillus sp. H1m"
"Bacillus sp. J13"
"Bacillus sp. J33"
"Bacillus sp. J37"
"Bacillus sp. JCM 19045"
"Bacillus sp. JCM 19046"
"Bacillus sp. JCM 19047"
"Bacillus sp. JS"
"Bacillus sp. L1(2012)"
"Bacillus sp. M 2-6"
"Bacillus sp. m3-13"
"Bacillus sp. MB2021"
"Bacillus sp. NSP2.1"
"Bacillus sp. NSP22.2"
"Bacillus sp. NSP9.1"
"Bacillus sp. RP1137"
"Bacillus sp. SB47"
"Bacillus sp. SB49"
"Bacillus sp. TS-2"
"Bacillus sp. UNC125MFCrub1.1"
"Bacillus sp. UNC41MFS5"
"Bacillus sp. UNC437CL72CviS29"
"Bacillus sp. UNC438CL73TsuS30"
"Bacillus sp. URHB0009"
"Bacillus sp. WBUNB001"
"Bacillus sp. YF23"
"Bacillus sp. ZYK"
"Bacillus stratosphericus"
"Bacillus subtilis"
"Bacillus tequilensis"
"Bacillus thuringiensis"
"Bacillus timonensis"
"Bacillus toyonensis"
"Bacillus vallismortis"
"Bacillus vireti"
"Bacillus weihenstephanensis"
"Bacillus xiamenensis"
"Bacteriovorax marinus"
"Bacteriovorax sp. BAL6_X"
"Bacteriovorax sp. BSW11_IV"
"Bacteriovorax sp. DB6_IX"
"Bacteriovorax sp. Seq25_V"
